DateTime,Value
2023-04-06T10:00:00,49.800
2023-04-06T11:00:00,49.860
2023-04-06T12:00:00,49.890
2023-04-06T13:00:00,49.870
2023-04-06T14:00:00,49.900
2023-04-06T15:00:00,49.910
2023-04-06T16:00:00,49.920
2023-04-06T17:00:00,49.940
2023-04-06T18:00:00,49.990
2023-04-06T19:00:00,49.970
2023-04-06T20:00:00,50.000
2023-04-06T21:00:00,50.010
2023-04-06T22:00:00,50.050
2023-04-06T23:00:00,50.040
2023-04-07T00:00:00,50.100
2023-04-07T01:00:00,50.130
2023-04-07T02:00:00,50.210
2023-04-07T03:00:00,50.280
2023-04-07T04:00:00,50.310
2023-04-07T05:00:00,50.360
2023-04-07T06:00:00,50.390
2023-04-07T07:00:00,50.430
2023-04-07T08:00:00,50.420
2023-04-07T09:00:00,50.410
2023-04-07T10:00:00,50.450
2023-04-07T11:00:00,50.490
2023-04-07T12:00:00,50.530
2023-04-07T13:00:00,50.550
2023-04-07T14:00:00,50.590
2023-04-07T15:00:00,50.610
2023-04-07T16:00:00,50.610
2023-04-07T17:00:00,50.650
2023-04-07T18:00:00,50.650
2023-04-07T19:00:00,50.700
2023-04-07T20:00:00,50.710
2023-04-07T21:00:00,50.690
2023-04-07T22:00:00,50.710
2023-04-07T23:00:00,50.730
2023-04-08T00:00:00,50.730
2023-04-08T01:00:00,50.790
2023-04-08T02:00:00,50.840
2023-04-08T03:00:00,50.850
2023-04-08T04:00:00,50.890
2023-04-08T05:00:00,50.890
2023-04-08T06:00:00,50.940
2023-04-08T07:00:00,50.970
2023-04-08T08:00:00,50.980
2023-04-08T09:00:00,51.010
2023-04-08T10:00:00,51.020
2023-04-08T11:00:00,51.010
2023-04-08T12:00:00,51.030
2023-04-08T13:00:00,51.080
2023-04-08T14:00:00,51.100
2023-04-08T15:00:00,51.120
2023-04-08T16:00:00,51.130
2023-04-08T17:00:00,51.170
2023-04-08T18:00:00,51.190
2023-04-08T19:00:00,51.170
2023-04-08T20:00:00,51.210
2023-04-08T21:00:00,51.220
2023-04-08T22:00:00,51.230
2023-04-08T23:00:00,51.250
2023-04-09T00:00:00,51.250
2023-04-09T01:00:00,51.270
2023-04-09T02:00:00,51.320
2023-04-09T03:00:00,51.320
2023-04-09T04:00:00,51.300
2023-04-09T05:00:00,51.320
2023-04-09T06:00:00,51.370
2023-04-09T07:00:00,51.390
2023-04-09T08:00:00,51.380
2023-04-09T09:00:00,51.420
2023-04-09T10:00:00,51.420
2023-04-09T11:00:00,51.420
2023-04-09T12:00:00,51.460
2023-04-09T13:00:00,51.470
2023-04-09T14:00:00,51.460
2023-04-09T15:00:00,51.460
2023-04-09T16:00:00,51.500
2023-04-09T17:00:00,51.490
2023-04-09T18:00:00,51.520
2023-04-09T19:00:00,51.540
2023-04-09T20:00:00,51.560
2023-04-09T21:00:00,51.560
2023-04-09T22:00:00,51.600
2023-04-09T23:00:00,51.590
2023-04-10T00:00:00,51.580
2023-04-10T01:00:00,51.600
2023-04-10T02:00:00,51.620
2023-04-10T03:00:00,51.610
2023-04-10T04:00:00,51.640
2023-04-10T05:00:00,51.630
2023-04-10T06:00:00,51.640
2023-04-10T07:00:00,51.720
2023-04-10T08:00:00,51.720
2023-04-10T09:00:00,51.710
2023-04-10T10:00:00,51.720
2023-04-10T11:00:00,51.750
2023-04-10T12:00:00,51.740
2023-04-10T13:00:00,51.750
2023-04-10T14:00:00,51.770
2023-04-10T15:00:00,51.780
2023-04-10T16:00:00,51.770
2023-04-10T17:00:00,51.810
2023-04-10T18:00:00,51.790
2023-04-10T19:00:00,51.790
2023-04-10T20:00:00,51.820
2023-04-10T21:00:00,51.840
2023-04-10T22:00:00,51.830
2023-04-10T23:00:00,51.800
2023-04-11T00:00:00,51.830
2023-04-11T01:00:00,51.860
2023-04-11T02:00:00,51.850
2023-04-11T03:00:00,51.820
2023-04-11T04:00:00,51.850
2023-04-11T05:00:00,51.840
2023-04-11T06:00:00,51.870
2023-04-11T07:00:00,51.860
2023-04-11T08:00:00,51.860
2023-04-11T09:00:00,51.870
2023-04-11T10:00:00,51.850
2023-04-11T11:00:00,51.870
2023-04-11T12:00:00,51.870
2023-04-11T13:00:00,51.890
2023-04-11T14:00:00,51.880
2023-04-11T15:00:00,51.880
2023-04-11T16:00:00,51.900
2023-04-11T17:00:00,51.880
2023-04-11T18:00:00,51.870
2023-04-11T19:00:00,51.920
2023-04-11T20:00:00,51.910
2023-04-11T21:00:00,51.920
2023-04-11T22:00:00,51.940
2023-04-11T23:00:00,51.930
2023-04-12T00:00:00,51.920
2023-04-12T01:00:00,51.930
2023-04-12T02:00:00,51.910
2023-04-12T03:00:00,51.930
2023-04-12T04:00:00,51.920
2023-04-12T05:00:00,51.930
2023-04-12T06:00:00,51.910
2023-04-12T07:00:00,51.940
2023-04-12T08:00:00,51.940
2023-04-12T09:00:00,51.940
2023-04-12T10:00:00,51.920
2023-04-12T11:00:00,51.930
2023-04-12T12:00:00,51.930
2023-04-12T13:00:00,51.920
2023-04-12T14:00:00,51.920
2023-04-12T15:00:00,51.940
2023-04-12T16:00:00,51.930
2023-04-12T17:00:00,51.910
2023-04-12T18:00:00,51.930
2023-04-12T19:00:00,51.890
2023-04-12T20:00:00,51.930
2023-04-12T21:00:00,51.900
2023-04-12T22:00:00,51.920
2023-04-12T23:00:00,51.920
2023-04-13T00:00:00,51.940
2023-04-13T01:00:00,51.920
2023-04-13T02:00:00,51.910
2023-04-13T03:00:00,51.920
2023-04-13T04:00:00,51.920
2023-04-13T05:00:00,51.900
2023-04-13T06:00:00,51.900
2023-04-13T07:00:00,51.900
2023-04-13T08:00:00,51.890
2023-04-13T09:00:00,51.890
2023-04-13T10:00:00,51.880
2023-04-13T11:00:00,51.900
2023-04-13T12:00:00,51.890
2023-04-13T13:00:00,51.910
2023-04-13T14:00:00,51.900
2023-04-13T15:00:00,51.890
2023-04-13T16:00:00,51.910
2023-04-13T17:00:00,51.890
2023-04-13T18:00:00,51.910
2023-04-13T19:00:00,51.910
2023-04-13T20:00:00,51.880
2023-04-13T21:00:00,51.900
2023-04-13T22:00:00,51.910
2023-04-13T23:00:00,51.890
2023-04-14T00:00:00,51.870
2023-04-14T01:00:00,51.880
2023-04-14T02:00:00,51.860
2023-04-14T03:00:00,51.830
2023-04-14T04:00:00,51.850
2023-04-14T05:00:00,51.840
2023-04-14T06:00:00,51.830
2023-04-14T07:00:00,51.860
2023-04-14T08:00:00,51.800
2023-04-14T09:00:00,51.830
2023-04-14T10:00:00,51.800
2023-04-14T11:00:00,51.800
2023-04-14T12:00:00,51.810
2023-04-14T13:00:00,51.780
2023-04-14T14:00:00,51.770
2023-04-14T15:00:00,51.780
2023-04-14T16:00:00,51.770
2023-04-14T17:00:00,51.760
2023-04-14T18:00:00,51.750
2023-04-14T19:00:00,51.740
2023-04-14T20:00:00,51.740
2023-04-14T21:00:00,51.740
2023-04-14T22:00:00,51.740
2023-04-14T23:00:00,51.730
2023-04-15T00:00:00,51.710
2023-04-15T01:00:00,51.690
2023-04-15T02:00:00,51.690
2023-04-15T03:00:00,51.670
2023-04-15T04:00:00,51.660
2023-04-15T05:00:00,51.670
2023-04-15T06:00:00,51.630
2023-04-15T07:00:00,51.620
2023-04-15T08:00:00,51.620
2023-04-15T09:00:00,51.630
2023-04-15T10:00:00,51.580
2023-04-15T11:00:00,51.570
2023-04-15T12:00:00,51.640
2023-04-15T13:00:00,51.640
2023-04-15T14:00:00,51.650
2023-04-15T15:00:00,51.640
2023-04-15T16:00:00,51.620
2023-04-15T17:00:00,51.600
2023-04-15T18:00:00,51.610
2023-04-15T19:00:00,51.590
2023-04-15T20:00:00,51.550
2023-04-15T21:00:00,51.560
2023-04-15T22:00:00,51.540
2023-04-15T23:00:00,51.540
2023-04-16T00:00:00,51.570
2023-04-16T01:00:00,51.530
2023-04-16T02:00:00,51.500
2023-04-16T03:00:00,51.510
2023-04-16T04:00:00,51.520
2023-04-16T05:00:00,51.470
2023-04-16T06:00:00,51.460
2023-04-16T07:00:00,51.440
2023-04-16T08:00:00,51.430
2023-04-16T09:00:00,51.410
2023-04-16T10:00:00,51.430
2023-04-16T11:00:00,51.400
2023-04-16T12:00:00,51.400
2023-04-16T13:00:00,51.390
2023-04-16T14:00:00,51.360
2023-04-16T15:00:00,51.350
2023-04-16T16:00:00,51.320
2023-04-16T17:00:00,51.320
2023-04-16T18:00:00,51.300
2023-04-16T19:00:00,51.270
2023-04-16T20:00:00,51.280
2023-04-16T21:00:00,51.270
2023-04-16T22:00:00,51.250
2023-04-16T23:00:00,51.240
2023-04-17T00:00:00,51.230
2023-04-17T01:00:00,51.230
2023-04-17T02:00:00,51.210
2023-04-17T03:00:00,51.210
2023-04-17T04:00:00,51.180
2023-04-17T05:00:00,51.180
2023-04-17T06:00:00,51.150
2023-04-17T07:00:00,51.110
2023-04-17T08:00:00,51.130
2023-04-17T09:00:00,51.060
2023-04-17T10:00:00,51.070
2023-04-17T11:00:00,51.030
2023-04-17T12:00:00,51.000
2023-04-17T13:00:00,51.010
2023-04-17T14:00:00,50.980
2023-04-17T15:00:00,50.980
2023-04-17T16:00:00,50.960
2023-04-17T17:00:00,50.940
2023-04-17T18:00:00,50.930
2023-04-17T19:00:00,50.900
2023-04-17T20:00:00,50.900
2023-04-17T21:00:00,50.860
2023-04-17T22:00:00,50.860
2023-04-17T23:00:00,50.850
2023-04-18T00:00:00,50.820
2023-04-18T01:00:00,50.810
2023-04-18T02:00:00,50.790
2023-04-18T03:00:00,50.770
2023-04-18T04:00:00,50.750
2023-04-18T05:00:00,50.720
2023-04-18T06:00:00,50.700
2023-04-18T07:00:00,50.670
2023-04-18T08:00:00,50.660
2023-04-18T09:00:00,50.650
2023-04-18T10:00:00,50.620
2023-04-18T11:00:00,50.600
2023-04-18T12:00:00,50.590
2023-04-18T13:00:00,50.550
2023-04-18T14:00:00,50.530
2023-04-18T15:00:00,50.480
2023-04-18T16:00:00,50.470
2023-04-18T17:00:00,50.450
2023-04-18T18:00:00,50.450
2023-04-18T19:00:00,50.400
2023-04-18T20:00:00,50.370
2023-04-18T21:00:00,50.350
2023-04-18T22:00:00,50.320
2023-04-18T23:00:00,50.300
2023-04-19T00:00:00,50.260
2023-04-19T01:00:00,50.250
2023-04-19T02:00:00,50.220
2023-04-19T03:00:00,50.200
2023-04-19T04:00:00,50.170
2023-04-19T05:00:00,50.130
2023-04-19T06:00:00,50.120
2023-04-19T07:00:00,50.080
2023-04-19T08:00:00,50.030
2023-04-19T09:00:00,50.030
2023-04-19T10:00:00,49.980
2023-04-19T11:00:00,49.940
2023-04-19T12:00:00,49.920
2023-04-19T13:00:00,49.910
2023-04-19T14:00:00,49.860
2023-04-19T15:00:00,49.830
2023-04-19T16:00:00,49.800
2023-04-19T17:00:00,49.760
2023-04-19T18:00:00,49.730
2023-04-19T19:00:00,49.710
2023-04-19T20:00:00,49.670
2023-04-19T21:00:00,49.630
2023-04-19T22:00:00,49.610
2023-04-19T23:00:00,49.570
2023-04-20T00:00:00,49.530
2023-04-20T01:00:00,49.510
2023-04-20T02:00:00,49.470
2023-04-20T03:00:00,49.440
